GID,COND,DAY,H,HUMD,OU,PTSH,PTSV,SEAS,SPRV,STAD,SURF,TEMP,V,WDIR,WEEK,WSPD
1524,Foggy,SUN,SEA,97,43.0,41,3,2005,15.5,Qwest Field,FieldTurf,36.0,SF,SE,14,1
1525,Cloudy,SUN,TEN,53,44.0,13,10,2005,6.5,The Coliseum,Grass,43.0,HOU,W,14,12
1526,Partly Cloudy,SN,GB,64,35.5,16,13,2005,6.0,Lambeau Field,Grass,14.0,DET,N,14,8
1527,Dome,MN,ATL,\N,43.5,36,17,2005,10.5,Georgia Dome,FieldTurf,,NO,\N,14,\N
1528,Mostly Cloudy,SAT,BUF,67,34.5,17,28,2005,-8.5,Ralph Wilson Stadium,AstroPlay,28.0,DEN,\N,15,\N
1529,Sunny,SAT,NE,47,36.0,28,0,2005,4.5,Gillette Stadium,Grass,38.0,TB,NW,15,15
1530,Clear,SAT,NYG,55,47.5,27,17,2005,3.0,Giants Stadium,FieldTurf,39.0,KC,W,15,8
1531,Dome,SUN,DET,\N,43.5,17,41,2005,-8.0,Ford Field,FieldTurf,68.0,CIN,\N,15,\N
1532,Closed Roof,SUN,HOU,\N,42.5,30,19,2005,-1.5,Reliant Stadium,Grass,,ARI,\N,15,\N
1533,Dome,SUN,IND,\N,51.0,17,26,2005,7.5,RCA Dome,FieldTurf,,SD,\N,15,\N
1534,Clear,SUN,JAC,93,37.5,10,9,2005,15.5,Alltel Stadium,Grass,49.0,SF,NE,15,10
1535,Mostly Cloudy,SUN,MIA,75,35.0,24,20,2005,9.0,Dolphins Stadium,Grass,78.0,NYJ,SSE,15,8
1536,Dome,SUN,MIN,\N,40.5,3,18,2005,-3.0,Metrodome,AstroTurf,,PIT,\N,15,\N
1537,Sunny,SUN,NO,45,40.0,10,27,2005,-9.0,Tiger Stadium,Grass,55.0,CAR,N,15,8
1538,Light Rain,SUN,OAK,93,40.0,7,9,2005,3.0,McAfee Coliseum,Grass,56.0,CLE,S,15,18
1539,Dome,SUN,STL,\N,42.5,16,17,2005,3.0,Edward Jones Dome,AstroTurf,,PHI,\N,15,\N
1540,Mostly Sunny,SUN,TEN,44,45.0,24,28,2005,-7.0,The Coliseum,Grass,45.0,SEA,NE,15,4
1541,Sunny,SUN,WAS,45,35.0,35,7,2005,2.5,FedExField,Grass,44.0,DAL,SW,15,6
1542,Clear,SN,CHI,70,31.5,16,3,2005,3.0,Soldier Field,Grass,12.0,ATL,W,15,8
1543,Clear,MN,BAL,\N,33.0,48,3,2005,3.5,M&T Bank Stadium,MomentumTurf,29.0,GB,WNW,15,14
1544,Clear,SUN,ARI,17,39.0,27,21,2005,1.0,Sun Devil Stadium,Grass,75.0,PHI,W,16,3
1545,Sunny,SUN,CAR,45,37.5,20,24,2005,4.5,Bank of America Stadium,Grass,60.0,DAL,S,16,8
1546,Mostly Cloudy,SUN,CIN,57,44.0,27,37,2005,13.5,Paul Brown Stadium,FieldTurf,51.0,BUF,SSW,16,10
1547,Sunny,SUN,CLE,\N,32.0,0,41,2005,-7.0,Cleveland Browns Stadium,Grass,44.0,PIT,SE,16,9
1548,Mostly Sunny,SUN,DEN,20,42.5,22,3,2005,13.0,Invesco Field at Mile High,Grass,52.0,OAK,NE,16,7
1549,Closed Roof,SUN,HOU,\N,37.0,20,38,2005,-6.0,Reliant Stadium,Grass,,JAC,\N,16,\N
1550,Rain,SUN,KC,89,49.5,20,7,2005,-1.0,Arrowhead Stadium,Grass,42.0,SD,N,16,10
1551,Partly Cloudy,SUN,MIA,60,44.0,24,10,2005,5.5,Dolphins Stadium,Grass,77.0,TEN,SE,16,14
1552,Dome,SUN,NO,\N,38.5,12,13,2005,3.0,Alamodome,FieldTurf,68.0,DET,\N,16,\N
1553,Cloudy,SUN,SEA,88,43.5,28,13,2005,9.5,Qwest Field,FieldTurf,57.0,IND,SE,16,10
1554,Dome,SUN,STL,\N,42.0,20,24,2005,9.0,Edward Jones Dome,AstroTurf,,SF,\N,16,\N
1555,Partly Cloudy,SUN,TB,62,36.5,27,24,2005,3.0,Raymond James Stadium,Grass,66.0,ATL,W,16,9
1556,Sunny,SUN,WAS,42,37.0,35,20,2005,3.0,FedExField,Grass,50.0,NYG,S,16,8
1557,Cloudy,SUN,GB,86,31.0,17,24,2005,-6.5,Lambeau Field,Grass,34.0,CHI,NE,16,6
1558,Cloudy,SN,BAL,\N,35.0,30,23,2005,3.0,M&T Bank Stadium,MomentumTurf,43.0,MIN,SSW,16,5
1559,Cloudy,MN,NYJ,59,37.0,21,31,2005,-5.5,The Meadowlands,FieldTurf,41.0,NE,NW,16,21
1560,Partly Cloudy,SAT,OAK,74,40.5,21,30,2005,-8.0,McAfee Coliseum,Grass,57.0,NYG,S,17,15
1561,Light Rain,SAT,SD,63,44.0,7,23,2005,10.5,Qualcomm Stadium,Grass,61.0,DEN,WSW,17,8
1562,Dome,SUN,ATL,\N,42.0,11,44,2005,-4.0,Georgia Dome,FieldTurf,72.0,CAR,\N,17,\N
1563,\N,SUN,CLE,\N,37.0,20,16,2005,-3.0,Cleveland Browns Stadium,Grass,39.0,BAL,VAR,17,9
1564,Cloudy,SUN,GB,78,39.5,23,17,2005,4.5,Lambeau Field,Grass,34.0,SEA,E,17,7
1565,Dome,SUN,IND,\N,43.5,17,13,2005,6.5,RCA Dome,FieldTurf,,ARI,\N,17,\N
1566,Mostly Cloudy,SUN,JAC,78,37.5,40,13,2005,3.5,Alltel Stadium,Grass,69.0,TEN,SE,17,7
1567,Clear,SUN,KC,58,46.0,37,3,2005,7.0,Arrowhead Stadium,Grass,52.0,CIN,E,17,10
1568,Dome,SUN,MIN,\N,35.0,34,10,2005,4.0,Metrodome,AstroTurf,65.0,CHI,\N,17,\N
1569,Cloudy,SUN,NE,98,36.5,26,28,2005,5.5,Gillette Stadium,Grass,25.0,MIA,NE,17,4
1570,Cloudy,SUN,NYJ,82,37.5,30,26,2005,-1.0,The Meadowlands,FieldTurf,35.0,BUF,VAR,17,0
1571,Mostly Cloudy,SUN,PHI,60,37.0,20,31,2005,-7.5,Lincoln Financial Field,Grass,43.0,WAS,WNW,17,5
1572,Cloudy,SUN,PIT,63,35.0,35,21,2005,13.5,Heinz Field,Grass,39.0,DET,WSW,17,6
1573,Cloudy,SUN,SF,75,37.5,20,17,2005,-1.5,Monster Park,Grass,56.0,HOU,SE,17,28
1574,Chance Rain,SUN,TB,84,37.5,27,13,2005,13.5,Raymond James Stadium,Grass,74.0,NO,SSE,17,7
1575,\N,SN,DAL,12,43.5,10,20,2005,12.5,Texas Stadium,AstroTurf,75.0,STL,\N,17,\N
1576,Clear,SAT,NE,63,37.0,28,3,2005,7.5,Gillette Stadium,Grass,24.0,JAC,\N,18,\N
1577,Clear,SAT,TB,56,37.0,10,17,2005,2.5,Raymond James Stadium,Grass,52.0,WAS,WNW,18,12
1578,Partly Cloudy,SUN,CIN,37,46.0,17,31,2005,-3.0,Paul Brown Stadium,FieldTurf,61.0,PIT,SW,18,28
1579,Sunny,SUN,NYG,50,43.5,0,23,2005,2.5,Giants Stadium,FieldTurf,44.0,CAR,NW,18,6
1580,\N,SAT,DEN,22,44.0,27,13,2005,3.0,Invesco Field at Mile High,Grass,54.0,NE,SE,19,3
1581,Rain,SAT,SEA,83,41.0,20,10,2005,9.5,Qwest Field,FieldTurf,44.0,WAS,SSE,19,1
1582,Partly Cloudy,SUN,CHI,50,30.0,21,29,2005,3.0,Soldier Field,Grass,40.0,CAR,SE,19,15
1583,Dome,SUN,IND,\N,47.5,18,21,2005,9.5,RCA Dome,FieldTurf,,PIT,\N,19,\N
1584,Sunny,SUN,DEN,48,41.0,17,34,2005,3.0,Invesco Field at Mile High,Grass,34.0,PIT,SE,20,11
1585,Cloudy,SUN,SEA,72,43.5,34,14,2005,3.5,Qwest Field,FieldTurf,48.0,CAR,S,20,14
1586,Dome,SB,PIT,\N,47.0,21,10,2005,4.0,Ford Field,FieldTurf,68.0,SEA,\N,21,\N
1587,Fair,THU,PIT,65,34.5,28,17,2006,1.0,Heinz Field,Grass,69.0,MIA,ESE,1,1
1588,Partly Cloudy,SUN,CAR,55,39.0,6,20,2006,5.0,Bank of America stadium,Grass,86.0,ATL,NE,1,7
1589,Chance Rain,SUN,TB,67,34.0,0,27,2006,3.0,Raymond James Stadium,Grass,87.0,BAL,S,1,3
1590,Partly Cloudy,SUN,NE,65,41.0,19,17,2006,9.5,Gillette Stadium,Grass,63.0,BUF,ENE,1,10
1591,Rain,SUN,KC,87,46.5,10,23,2006,2.5,Arrowhead Stadium,Grass,67.0,CIN,NW,1,5
1592,Dome,SUN,STL,\N,45.5,18,10,2006,-3.5,Edward Jones Dome,AstroTurf,,DEN,\N,1,\N
1593,Cloudy,SUN,CLE,75,35.5,14,19,2006,3.0,Cleveland Browns Stadium,Grass,68.0,NO,NE,1,12
1594,Partly Cloudy,SUN,TEN,53,36.0,16,23,2006,3.0,LP Field,Grass,85.0,NYJ,SW,1,5
1595,Closed Roof,SUN,HOU,\N,37.0,10,24,2006,-5.0,Reliant Stadium,Grass,,PHI,\N,1,\N
1596,Dome,SUN,DET,\N,45.0,6,9,2006,-6.0,Ford Field,FieldTurf,68.0,SEA,\N,1,\N
1597,Cloudy,SUN,GB,55,35.0,0,26,2006,-3.5,Lambeau Field,Grass,62.0,CHI,SE,1,12
1598,Chance Rain,SUN,JAC,76,36.5,24,17,2006,2.0,Alltel Stadium,Grass,82.0,DAL,NE,1,9
1599,Closed Roof,SUN,ARI,\N,42.5,34,27,2006,7.5,Cardinals Stadium,Grass,,SF,\N,1,\N
1600,Cloudy,SN,NYG,52,47.5,21,26,2006,-3.0,Giants Stadium,FieldTurf,71.0,IND,NE,1,7
1601,Cloudy,MN,WAS,63,35.0,16,19,2006,4.5,FedExField,Grass,65.0,MIN,E,1,9
1602,Clear,MN,OAK,51,43.0,0,27,2006,-3.0,McAfee Coliseum,Grass,74.0,SD,NW,1,8
1603,Sunny,SUN,MIA,65,37.0,6,16,2006,6.5,Dolphin Stadium,Grass,86.0,BUF,E,2,10
1604,Dome,SUN,MIN,\N,37.0,16,13,2006,0.0,Metrodome,AstroTurf,66.0,CAR,\N,2,\N
1605,Sunny,SUN,CIN,55,41.5,34,17,2006,10.5,Paul Brown Stadium,Grass,79.0,CLE,SSW,2,4
1606,Chance Rain,SUN,CHI,81,32.0,34,7,2006,8.5,Soldier Field,Grass,68.0,DET,S,2,7
1607,Dome,SUN,IND,\N,47.0,43,24,2006,13.0,RCA Dome,FieldTurf,,HOU,\N,2,\N
1608,Partly Cloudy,SUN,GB,59,38.0,27,34,2006,-2.0,Lambeau Field,Grass,78.0,NO,SW,2,12
1609,Sunny,SUN,PHI,56,42.0,24,30,2006,3.0,Lincoln Financial Field,Grass,79.0,NYG,NNW,2,4
1610,Sunny,SUN,BAL,56,34.0,28,6,2006,11.5,M & T Bank Stadium,SportGrass,80.0,OAK,NNW,2,4
1611,Dome,SUN,ATL,\N,35.5,14,3,2006,5.5,Georgia Dome,FieldTurf,,TB,\N,2,\N
1612,Cloudy,SUN,SEA,57,47.0,21,10,2006,7.0,Qwest Field,FieldTurf,61.0,ARI,SSE,2,7
1613,Sunny,SUN,SF,58,43.5,20,13,2006,-3.0,Monster Park,Grass,68.0,STL,NE,2,3
1614,Sunny,SUN,DEN,13,38.5,9,6,2006,10.5,Invesco Field at Mile High,Grass,61.0,KC,NW,2,7
1615,Sunny,SUN,NYJ,47,37.0,17,24,2006,-5.5,The Meadowlands,FieldTurf,84.0,NE,VAR,2,6
1616,Sunny,SUN,SD,5,38.0,40,7,2006,11.5,Qualcomm Stadium,Grass,88.0,TEN,E,2,17
1617,Light Rain,SN,DAL,95,37.0,27,10,2006,6.0,Texas Stadium,FieldTurf,73.0,WAS,\N,2,\N
1618,Chance Rain,MN,JAC,81,37.5,9,0,2006,-2.0,Alltel Stadium,Grass,79.0,PIT,S,2,5
1619,Chance Rain,SUN,TB,49,34.0,24,26,2006,-3.0,Raymond James Stadium,Grass,89.0,CAR,E,3,3
1620,Dome,SUN,MIN,\N,35.0,16,19,2006,-3.5,Metrodome,AstroTurf,,CHI,\N,3,\N
1621,Mostly Cloudy,SUN,PIT,69,43.0,20,28,2006,3.0,Heinz Field,Grass,69.0,CIN,W,3,19
1622,Dome,SUN,DET,\N,39.0,24,31,2006,7.0,Ford Field,AstroTurf,68.0,GB,\N,3,\N
1623,Dome,SUN,IND,\N,43.0,21,14,2006,7.0,RCA Dome,FieldTurf,,JAC,\N,3,\N
1624,Partly Cloudy,SUN,BUF,73,34.5,20,28,2006,6.0,Ralph Wilson Stadium,AstroPlay,65.0,NYJ,WSW,3,20
1625,Mostly Cloudy,SUN,MIA,61,35.5,13,10,2006,10.5,Dolphin Stadium,Grass,88.0,TEN,E,3,12
1626,Closed Roof,SUN,HOU,\N,37.5,15,31,2006,-4.0,Reliant Stadium,Grass,,WAS,\N,3,\N
1627,Cloudy,SUN,CLE,66,33.5,14,15,2006,-6.5,Cleveland Browns Stadium,Grass,68.0,BAL,W,3,19
1628,Sunny,SUN,SEA,61,43.5,42,30,2006,3.5,Qwest Field,FieldTurf,65.0,NYG,NNW,3,6
1629,Sunny,SUN,SF,73,41.5,24,38,2006,-6.0,Monster Park,Grass,66.0,PHI,NE,3,5
1630,Closed Roof,SUN,ARI,\N,44.5,14,16,2006,4.5,Cardinals Stadium,Grass,,STL,\N,3,\N
1631,Rain,SN,NE,79,38.5,7,17,2006,6.5,Gillette Stadium,Grass,68.0,DEN,WSW,3,12
1632,Dome,MN,NO,\N,43.0,23,3,2006,-3.5,Louisiana Superdome,MomentumTurf,78.0,ATL,\N,3,\N
1633,Dome,SUN,ATL,\N,40.5,32,10,2006,7.5,Georgia Dome,FieldTurf,,ARI,\N,4,\N
1634,Sunny,SUN,TEN,48,37.0,14,45,2006,-9.0,LP Field,Grass,75.0,DAL,\N,4,\N
1635,Cloudy,SUN,NYJ,80,46.5,28,31,2006,-9.0,The Meadowlands,FieldTurf,62.0,IND,W,4,2
1636,Closed Roof,SUN,HOU,\N,40.5,17,15,2006,-3.5,Reliant Stadium,Grass,,MIA,\N,4,\N
1637,Sunny,SUN,BUF,77,35.0,17,12,2006,1.5,Ralph Wilson Stadium,AstroPlay,58.0,MIN,WSW,4,11
1638,Sunny,SUN,CAR,40,42.0,21,18,2006,7.0,Bank of America Stadium,Grass,82.0,NO,W,4,6
1639,Partly Cloudy,SUN,BAL,59,33.5,16,13,2006,-2.5,M & T Bank Stadium,SportGrass,68.0,SD,W,4,7
1640,Sunny,SUN,KC,40,40.5,41,0,2006,7.0,Arrowhead Stadium,Grass,82.0,SF,S,4,15
1641,Dome,SUN,STL,\N,43.5,41,34,2006,5.5,Edward Jones Dome,AstroTurf,,DET,\N,4,\N
1642,Cloudy,SUN,OAK,\N,33.5,21,24,2006,-3.0,McAfee Coliseum,Grass,63.0,CLE,\N,4,\N
1643,Sunny,SUN,WAS,52,34.5,36,30,2006,-3.0,FedExField,Grass,72.0,JAC,N,4,3
1644,Sunny,SUN,CIN,37,46.0,13,38,2006,5.5,Paul Brown Stadium,FieldTurf,75.0,NE,NW,4,13
1645,Chance Rain,SN,CHI,45,35.0,37,6,2006,3.5,Soldier Field,Grass,69.0,SEA,VAR,4,5
1646,Clear,MN,PHI,72,48.5,31,9,2006,10.5,Lincoln Financial Field,Grass,59.0,GB,WSW,4,2
1647,Mostly Sunny,SUN,CHI,80,34.0,40,7,2006,10.0,Soldier Field,Grass,56.0,BUF,S,5,8
1648,Mostly Cloudy,SUN,CAR,86,37.5,20,12,2006,8.0,Bank of America Stadium,Grass,60.0,CLE,NE,5,11
1649,Dome,SUN,MIN,\N,39.5,26,17,2006,6.5,Metrodome,AstroTurf,65.0,DET,\N,5,\N
1650,Sunny,SUN,NE,37,37.0,20,10,2006,10.0,Gillette Stadium,Grass,65.0,MIA,VAR,5,4
1651,Sunny,SUN,GB,45,47.0,20,23,2006,-3.0,Lambeau Field,Grass,69.0,STL,SW,5,22
1652,Dome,SUN,NO,\N,35.5,24,21,2006,6.5,Louisiana Superdome,MomentumTurf,80.0,TB,\N,5,\N
1653,Dome,SUN,IND,\N,48.0,14,13,2006,18.5,RCA Dome,FieldTurf,,TEN,\N,5,\N
1654,Clear,SUN,NYG,43,45.5,19,3,2006,4.5,Giants Stadium,FieldTurf,66.0,WAS,N,5,1
1655,Closed Roof,SUN,ARI,\N,39.0,20,23,2006,-3.0,Cardinals Stadium,Grass,,KC,\N,5,\N
1656,Clear,SUN,JAC,42,37.0,41,0,2006,7.0,Alltel Stadium,Grass,75.0,NYJ,NNE,5,5
1657,Sunny,SUN,SF,72,40.0,34,20,2006,3.5,Monster Park,Grass,65.0,OAK,NE,5,3
1658,Sunny,SUN,PHI,49,43.5,38,24,2006,2.0,Lincoln Financial Field,Grass,70.0,DAL,ENE,5,3
1659,Clear,SN,SD,63,37.0,23,13,2006,3.5,Qualcomm Stadium,Grass,67.0,PIT,WSW,5,9
1660,Light Rain,MN,DEN,0,33.0,13,3,2006,4.0,Invesco Field at Mile High,Grass,39.0,BAL,E,5,7
1661,Dome,SUN,DET,\N,40.5,20,17,2006,-1.5,Ford Field,Ford Field,68.0,BUF,\N,6,\N
1662,Sunny,SUN,BAL,33,33.0,21,23,2006,3.0,M & T Bank Stadium,SportGrass,58.0,CAR,W,6,11
1663,Chance Rain,SUN,TB,43,43.5,14,13,2006,-4.5,Raymond James Stadium,Grass,77.0,CIN,E,6,8
1664,Light Rain,SUN,DAL,87,43.0,34,6,2006,12.5,Texas Stadium,FieldTurf,66.0,HOU,SSE,6,9
1665,Dome,SUN,ATL,\N,42.0,14,27,2006,3.0,Georgia Dome,FieldTurf,72.0,NYG,\N,6,\N
1666,Dome,SUN,NO,\N,46.5,27,24,2006,-3.5,Louisiana Superdome,MomentumTurf,78.0,PHI,\N,6,\N
1667,Dome,SUN,STL,\N,44.5,28,30,2006,-3.0,Edward Jones Dome,AstroTurf,,SEA,\N,6,\N
1668,Sunny,SUN,WAS,43,40.0,22,25,2006,10.5,FedExField,Grass,59.0,TEN,NW,6,6
1669,Clear,SUN,PIT,40,37.0,45,7,2006,7.0,Heinz Field,Grass,52.0,KC,WSW,6,6
1670,Clear,SUN,NYJ,35,36.5,20,17,2006,3.0,The Meadowlands,FieldTurf,57.0,MIA,W,6,13
1671,Cloudy,SUN,SF,72,42.5,19,48,2006,-10.0,Monster Park,Grass,57.0,SD,SW,6,12
1672,Partly Cloudy,SN,DEN,33,36.0,13,3,2006,15.0,Invesco Field at Mile High,Grass,64.0,OAK,E,6,3
1673,\N,MN,ARI,22,39.0,23,24,2006,-10.5,University of Phoenix Staduim,Grass,81.0,CHI,SW,6,5
1674,Cloudy,SUN,CIN,68,44.5,17,14,2006,3.5,Paul Brown Stadium,FieldTurf,48.0,CAR,W,7,18
1675,Hazy,SUN,NYJ,52,42.0,31,24,2006,3.5,The Meadowlands,FieldTurf,57.0,DET,S,7,8
1676,Partly Cloudy,SUN,MIA,59,40.5,24,34,2006,5.0,Dolphin Stadium,Grass,86.0,GB,E,7,9
1677,Closed Roof,SUN,HOU,\N,40.5,27,7,2006,-9.0,Reliant Stadium,Grass,,JAC,\N,7,\N
1678,Cloudy,SUN,BUF,74,37.5,6,28,2006,-5.5,Ralph Wilson Stadium,AstroPlay,50.0,NE,SSE,7,14
1679,Chance Rain,SUN,TB,74,43.0,23,21,2006,-5.5,Raymond James Stadium,Grass,88.0,PHI,WSW,7,8
1680,Dome,SUN,ATL,\N,37.5,41,38,2006,-2.5,Georgia Dome,FieldTurf,,PIT,\N,7,\N
1681,Partly Cloudy,SUN,KC,68,41.0,30,27,2006,-5.0,Arrowhead Stadium,Grass,40.0,SD,W,7,9
1682,Cloudy,SUN,CLE,72,31.5,7,17,2006,-4.5,Cleveland Browns Stadium,Grass,48.0,DEN,SW,7,23
1683,Clear,SUN,OAK,59,39.5,22,9,2006,-3.0,McAfee Coliseum,Grass,67.0,ARI,W,7,6
1684,Sunny,SUN,SEA,51,41.0,13,31,2006,6.5,Qwest Field,FieldTurf,60.0,MIN,ESE,7,5
1685,Dome,SUN,IND,\N,48.5,36,22,2006,9.5,RCA Dome,FieldTurf,,WAS,\N,7,\N
1686,Clear,MN,DAL,23,45.0,22,36,2006,3.5,Texas Stadium,FieldTurf,63.0,NYG,S,7,6
1687,Sunny,SUN,GB,45,44.5,31,14,2006,3.5,Lambeau Field,Grass,45.0,ARI,W,8,10
1688,Sunny,SUN,CIN,39,44.0,27,29,2006,4.0,Paul Brown Stadium,FieldTurf,56.0,ATL,WSW,8,11
1689,Dome,SUN,NO,\N,37.0,22,35,2006,1.5,Louisiana Superdome,MomentumTurf,70.0,BAL,\N,8,\N
1690,Sunny,SUN,TEN,33,41.5,28,22,2006,3.0,LP Field,Grass,72.0,HOU,SW,8,8
1691,Partly Cloudy,SUN,PHI,38,40.5,6,13,2006,7.0,Lincoln Financial Field,Grass,53.0,JAC,W,8,24
1692,Clear,SUN,KC,48,37.0,35,28,2006,4.5,Arrowhead Stadium,Grass,67.0,SEA,S,8,5
1693,Sunny,SUN,CHI,39,42.0,41,10,2006,16.5,Soldier Field,Grass,46.0,SF,W,8,9
1694,Partly Cloudy,SUN,NYG,32,40.5,17,3,2006,9.0,Giants Stadium,FieldTurf,53.0,TB,W,8,20
1695,Sunny,SUN,SD,19,45.0,38,24,2006,9.5,Qualcomm Stadium,Grass,72.0,STL,N,8,6
1696,Partly Sunny,SUN,DEN,12,39.5,31,34,2006,3.0,Invesco Field at Mile High,Grass,70.0,IND,S,8,4
1697,Sunny,SUN,CLE,50,37.0,20,13,2006,2.0,Cleveland Browns Stadium,Grass,46.0,NYJ,W,8,19
1698,Sunny,SUN,OAK,57,39.0,20,13,2006,-9.0,McAfee Coliseum,Grass,62.0,PIT,NW,8,10
1699,Clear,SN,CAR,68,41.0,14,35,2006,5.0,Bank of America Stadium,Grass,53.0,DAL,SW,8,5
1700,Dome,MN,MIN,\N,38.5,7,31,2006,-3.0,Metrodome,AstroTurf,65.0,NE,\N,8,\N
1701,Dome,SUN,DET,\N,47.0,30,14,2006,-5.0,Ford Field,FieldTurf,68.0,ATL,\N,9,\N
1702,Partly Cloudy,SUN,BAL,41,41.0,26,20,2006,3.0,M&T Bank Stadium,SportGrass,50.0,CIN,SSE,9,3
1703,Sunny,SUN,WAS,43,42.0,22,19,2006,-3.0,FedEx Field,Grass,51.0,DAL,S,9,6
1704,Mostly Cloudy,SUN,BUF,53,40.5,24,10,2006,3.0,Ralph Wilson Stadium,AstroPlay,47.0,GB,S,9,10
1705,Partly Cloudy,SUN,NYG,36,42.5,14,10,2006,13.0,Giants Stadium,FieldTurf,46.0,HOU,S,9,1
1706,Dome,SUN,STL,\N,48.0,17,31,2006,2.5,Edward Jones Dome,AstroTurf,,KC,\N,9,\N
1707,Sunny,SUN,CHI,47,37.5,13,31,2006,13.5,Soldier Field,Grass,54.0,MIA,SW,9,8
1708,Sunny,SUN,TB,48,38.5,14,31,2006,-1.0,Raymond James Stadium,Grass,81.0,NO,NE,9,16
1709,Light Rain,SUN,JAC,63,37.5,37,7,2006,9.5,Alltel Stadium,Grass,69.0,TEN,E,9,20
1710,Sunny,SUN,SF,80,43.0,9,3,2006,-4.5,Monster Park,Grass,62.0,MIN,NE,9,7
1711,Sunny,SUN,SD,9,41.0,32,25,2006,12.5,Qualcomm Stadium,Grass,87.0,CLE,N,9,3
1712,Mostly Cloudy,SUN,PIT,29,36.5,20,31,2006,3.0,Heinz Field,Grass,53.0,DEN,SSW,9,5
1713,Clear,SN,NE,72,48.0,20,27,2006,3.0,Gillette Stadium,Grass,31.0,IND,\N,9,\N
1714,Rain,MN,SEA,90,37.0,16,0,2006,7.5,Qwest Field,FieldTurf,62.0,OAK,S,9,17
1715,Cloudy,SUN,TEN,58,37.5,26,27,2006,-7.0,LP Field,Grass,47.0,BAL,NE,10,11
1716,Dome,SUN,IND,\N,45.0,17,16,2006,12.0,RCA Dome,FieldTurf,,BUF,\N,10,\N
1717,Rain,SN,NYG,81,37.5,20,38,2006,1.5,Giants Stadium,FieldTurf,48.0,CHI,NNE,10,9
1718,Dome,SUN,ATL,\N,42.0,13,17,2006,7.5,Georgia Dome,FieldTurf,45.0,CLE,\N,10,\N
1719,Dome,SUN,MIN,\N,39.0,17,23,2006,5.5,Metrodome,FieldTurf,66.0,GB,\N,10,\N
1720,Clear,SUN,JAC,\N,37.5,10,13,2006,10.0,Alltel Stadium,Grass,56.0,HOU,NW,10,10
1721,Partly Cloudy,SUN,MIA,50,40.0,13,10,2006,1.0,Dolphin Stadium,Grass,81.0,KC,NW,10,9
1722,Cloudy,SUN,PIT,75,45.5,38,31,2006,4.5,Heinz Field,Grass,39.0,NO,NNW,10,9
1723,Rain,SUN,NE,0,38.0,14,17,2006,10.5,Gillette Stadium,Grass,58.0,NYJ,\N,10,\N
1724,Cloudy,SUN,CIN,66,47.5,41,49,2006,-1.0,Paul Brown Stadium,FieldTurf,42.0,SD,NNE,10,9
1725,Dome,SUN,DET,\N,46.0,13,19,2006,6.0,Ford Field,FieldTurf,68.0,SF,\N,10,\N
1726,Rain,SUN,PHI,78,42.5,27,3,2006,7.0,Lincoln Financial Field,Grass,61.0,WAS,N,10,14
1727,Partly Cloudy,SUN,OAK,59,33.5,13,17,2006,-9.0,McAfee Coliseum,Grass,56.0,DEN,SSE,10,7
1728,\N,SUN,ARI,17,43.5,10,27,2006,-7.0,University of Phoenix Stadium,Grass,75.0,DAL,VAR,10,4
1729,Rain,SUN,SEA,92,44.0,24,22,2006,3.5,Qwest Field,FieldTurf,48.0,STL,SSE,10,17
1730,Partly Cloudy,MN,CAR,42,37.0,24,10,2006,9.0,Bank of America Stadium,Grass,58.0,TB,SSW,10,3
1731,Mostly Cloudy,SUN,BAL,54,40.5,24,10,2006,4.0,M & T Bank Stadium,SportGrass,49.0,ATL,NNW,11,8
1732,Sunny,SUN,HOU,37,36.5,21,24,2006,2.5,Reliant Stadium,Grass,61.0,BUF,ENE,11,6
1733,Cloudy,SUN,NYJ,53,38.0,0,10,2006,-7.0,The Meadowlands,FieldTurf,47.0,CHI,W,11,5
1734,Dome,SUN,NO,\N,51.0,16,31,2006,3.5,Louisiana Superdome,MomentumTurf,52.0,CIN,\N,11,\N
1735,Clear,SUN,DAL,17,48.5,21,14,2006,1.0,Texas Stadium,AstroTurf,63.0,IND,NE,11,10
1736,Sunny,SUN,MIA,33,34.0,24,20,2006,3.5,Dolphin Stadium,Grass,68.0,MIN,N,11,9
1737,Mostly Sunny,SUN,GB,46,44.5,0,35,2006,-5.5,Lambeau Field,Grass,41.0,NE,NW,11,12
1738,Clear,SUN,KC,57,36.0,17,13,2006,9.5,Arrowhead Stadium,Grass,41.0,OAK,N,11,6
1739,Rain,SUN,CLE,\N,37.5,20,24,2006,-3.5,Cleveland Browns Stadium,Grass,38.0,PIT,NW,11,11
1740,Sunny,SUN,CAR,52,44.0,15,0,2006,7.0,Bank of America Stadium,Grass,58.0,STL,NW,11,8
1741,Mostly Cloudy,SUN,PHI,52,43.0,13,31,2006,13.0,Lincoln Financial Field,Grass,50.0,TEN,NNW,11,7
1742,Chance Rain,SUN,TB,39,33.5,20,17,2006,3.0,Raymond James Stadium,Grass,69.0,WAS,N,11,11
1743,Closed Roof,SUN,ARI,\N,45.5,17,10,2006,2.5,University of Phoenix Stadium,Grass,,DET,\N,11,\N
1744,Hazy,SUN,SF,88,43.5,20,14,2006,-3.5,Monster Park,Grass,59.0,SEA,NE,11,5
1745,Clear,SN,DEN,44,42.5,27,35,2006,2.5,Invesco Field at Mile High,Grass,34.0,SD,SE,11,8
